"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"15","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","32","CommentRequired: Field comments are required","Documentation","CommentRequired"
"16","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","33","CommentDefaultAccessModifier: Missing commented default access modifier on field 'logger'","Code Style","CommentDefaultAccessModifier"
"17","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","33","CommentRequired: Field comments are required","Documentation","CommentRequired"
"18","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","36","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"19","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","36","MethodArgumentCouldBeFinal: Parameter 'c' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"20","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","36","ShortVariable: Avoid variables with short names like c","Code Style","ShortVariable"
"21","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","38","LocalVariableCouldBeFinal: Local variable 'comment' could be declared final","Code Style","LocalVariableCouldBeFinal"
"22","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","38","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'comment'","Code Style","UnnecessaryLocalBeforeReturn"
"23","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","45","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"24","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","45","MethodArgumentCouldBeFinal: Parameter 'videoId' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"25","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","51","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"26","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","51","MethodArgumentCouldBeFinal: Parameter 'commentId' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"27","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","58","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"28","com.mediaplayer.controller","src/main/java/com/mediaplayer/controller/CommentController.java","3","58","MethodArgumentCouldBeFinal: Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"29","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","4","11","UnnecessaryImport: Unused import 'lombok.AllArgsConstructor'","Code Style","UnnecessaryImport"
"30","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","4","12","UnnecessaryImport: Unused import 'lombok.Data'","Code Style","UnnecessaryImport"
"31","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","20","CommentRequired: Class comments are required","Documentation","CommentRequired"
"32","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","20","DataClass: The class 'Comment' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=13)","Design","DataClass"
"33","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","24","CommentRequired: Field comments are required","Documentation","CommentRequired"
"34","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","25","CommentRequired: Field comments are required","Documentation","CommentRequired"
"35","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","26","CommentRequired: Field comments are required","Documentation","CommentRequired"
"36","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","27","CommentRequired: Field comments are required","Documentation","CommentRequired"
"37","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","29","CommentRequired: Field comments are required","Documentation","CommentRequired"
"38","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","31","CommentRequired: Field comments are required","Documentation","CommentRequired"
"39","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","34","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"40","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","34","MethodArgumentCouldBeFinal: Parameter 'commentId' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"41","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","34","MethodArgumentCouldBeFinal: Parameter 'date' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"42","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","34","MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"43","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","34","MethodArgumentCouldBeFinal: Parameter 'time' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"44","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","47","MethodArgumentCouldBeFinal: Parameter 'commentId' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"45","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","57","MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"46","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","67","MethodArgumentCouldBeFinal: Parameter 'userId' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"47","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","77","MethodArgumentCouldBeFinal: Parameter 'videoId' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"48","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","87","MethodArgumentCouldBeFinal: Parameter 'date' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"49","com.mediaplayer.entity","src/main/java/com/mediaplayer/entity/Comment.java","3","97","MethodArgumentCouldBeFinal: Parameter 'time' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"50","com.mediaplayer.exceptionHandler","src/main/java/com/mediaplayer/exceptionHandler/GlobalExceptionHandler.java","3","1","PackageCase: Package name contains upper case characters","Code Style","PackageCase"
"51","com.mediaplayer.exceptionHandler","src/main/java/com/mediaplayer/exceptionHandler/GlobalExceptionHandler.java","3","19","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"52","com.mediaplayer.exceptionHandler","src/main/java/com/mediaplayer/exceptionHandler/GlobalExceptionHandler.java","3","19","CommentRequired: Class comments are required","Documentation","CommentRequired"
"53","com.mediaplayer.exceptionHandler","src/main/java/com/mediaplayer/exceptionHandler/GlobalExceptionHandler.java","3","22","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"54","com.mediaplayer.exceptionHandler","src/main/java/com/mediaplayer/exceptionHandler/GlobalExceptionHandler.java","3","22","MethodArgumentCouldBeFinal: Parameter 'ex' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"55","com.mediaplayer.exceptionHandler","src/main/java/com/mediaplayer/exceptionHandler/GlobalExceptionHandler.java","3","22","ShortVariable: Avoid variables with short names like ex","Code Style","ShortVariable"
"56","com.mediaplayer.exceptionHandler","src/main/java/com/mediaplayer/exceptionHandler/GlobalExceptionHandler.java","3","23","LocalVariableCouldBeFinal: Local variable 'errorResponse' could be declared final","Code Style","LocalVariableCouldBeFinal"
"57","com.mediaplayer.exceptions","src/main/java/com/mediaplayer/exceptions/InvalidCommentException.java","4","7","UnnecessaryImport: Unused import 'org.springframework.web.bind.annotation.ResponseStatus'","Code Style","UnnecessaryImport"
"58","com.mediaplayer.exceptions","src/main/java/com/mediaplayer/exceptions/InvalidCommentException.java","4","9","UnnecessaryImport: Unused import 'lombok.Data'","Code Style","UnnecessaryImport"
"59","com.mediaplayer.exceptions","src/main/java/com/mediaplayer/exceptions/InvalidCommentException.java","3","11","CommentRequired: Class comments are required","Documentation","CommentRequired"
"60","com.mediaplayer.exceptions","src/main/java/com/mediaplayer/exceptions/InvalidCommentException.java","3","11","MissingSerialVersionUID: Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"61","com.mediaplayer.exceptions","src/main/java/com/mediaplayer/exceptions/InvalidCommentException.java","3","12","CommentRequired: Field comments are required","Documentation","CommentRequired"
"62","com.mediaplayer.exceptions","src/main/java/com/mediaplayer/exceptions/InvalidCommentException.java","3","13","CommentRequired: Field comments are required","Documentation","CommentRequired"
"63","com.mediaplayer.exceptions","src/main/java/com/mediaplayer/exceptions/InvalidCommentException.java","3","14","CommentRequired: Field comments are required","Documentation","CommentRequired"
"64","com.mediaplayer.exceptions","src/main/java/com/mediaplayer/exceptions/InvalidCommentException.java","3","16","CallSuperInConstructor: It is a good practice to call super() in a constructor","Code Style","CallSuperInConstructor"
"65","com.mediaplayer.exceptions","src/main/java/com/mediaplayer/exceptions/InvalidCommentException.java","3","16","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"66","com.mediaplayer.exceptions","src/main/java/com/mediaplayer/exceptions/InvalidCommentException.java","3","16","MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"67","com.mediaplayer.exceptions","src/main/java/com/mediaplayer/exceptions/InvalidCommentException.java","3","16","MethodArgumentCouldBeFinal: Parameter 'status' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"68","com.mediaplayer.exceptions","src/main/java/com/mediaplayer/exceptions/InvalidCommentException.java","3","26","MissingOverride: The method 'getMessage()' is missing an @Override annotation.","Best Practices","MissingOverride"
"69","com.mediaplayer.repository","src/main/java/com/mediaplayer/repository/CommentRepository.java","3","18","CommentRequired: Class comments are required","Documentation","CommentRequired"
"70","com.mediaplayer.repository","src/main/java/com/mediaplayer/repository/CommentRepository.java","3","20","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"71","com.mediaplayer.repository","src/main/java/com/mediaplayer/repository/CommentRepository.java","1","20","FormalParameterNamingConventions: The method parameter name 'VideoId' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FormalParameterNamingConventions"
"72","com.mediaplayer.repository","src/main/java/com/mediaplayer/repository/CommentRepository.java","3","24","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"73","com.mediaplayer.response","src/main/java/com/mediaplayer/response/ErrorResponse.java","3","5","CommentRequired: Class comments are required","Documentation","CommentRequired"
"74","com.mediaplayer.response","src/main/java/com/mediaplayer/response/ErrorResponse.java","3","6","CommentRequired: Field comments are required","Documentation","CommentRequired"
"75","com.mediaplayer.response","src/main/java/com/mediaplayer/response/ErrorResponse.java","3","6","ImmutableField: Field 'status' may be declared final","Design","ImmutableField"
"76","com.mediaplayer.response","src/main/java/com/mediaplayer/response/ErrorResponse.java","3","7","CommentRequired: Field comments are required","Documentation","CommentRequired"
"77","com.mediaplayer.response","src/main/java/com/mediaplayer/response/ErrorResponse.java","3","7","ImmutableField: Field 'message' may be declared final","Design","ImmutableField"
"78","com.mediaplayer.response","src/main/java/com/mediaplayer/response/ErrorResponse.java","3","8","CommentRequired: Field comments are required","Documentation","CommentRequired"
"79","com.mediaplayer.response","src/main/java/com/mediaplayer/response/ErrorResponse.java","3","8","ImmutableField: Field 'timestamp' may be declared final","Design","ImmutableField"
"80","com.mediaplayer.response","src/main/java/com/mediaplayer/response/ErrorResponse.java","3","10","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"81","com.mediaplayer.response","src/main/java/com/mediaplayer/response/ErrorResponse.java","3","10","MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"82","com.mediaplayer.response","src/main/java/com/mediaplayer/response/ErrorResponse.java","3","10","MethodArgumentCouldBeFinal: Parameter 'status' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"83","com.mediaplayer.response","src/main/java/com/mediaplayer/response/ErrorResponse.java","3","10","MethodArgumentCouldBeFinal: Parameter 'timestamp' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"84","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","18","CommentRequired: Class comments are required","Documentation","CommentRequired"
"85","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","20","CommentRequired: Field comments are required","Documentation","CommentRequired"
"86","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","20","ImmutableField: Field 'commentRepo' may be declared final","Design","ImmutableField"
"87","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","29","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"88","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","29","MethodArgumentCouldBeFinal: Parameter 'commentRepo' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"89","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","34","AvoidUncheckedExceptionsInSignatures: A method or constructor should not explicitly declare unchecked exceptions in its 'throws' clause","Design","AvoidUncheckedExceptionsInSignatures"
"90","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","34","MethodArgumentCouldBeFinal: Parameter 'c' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"91","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","34","MissingOverride: The method 'addnewComment(Comment)' is missing an @Override annotation.","Best Practices","MissingOverride"
"92","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","34","ShortVariable: Avoid variables with short names like c","Code Style","ShortVariable"
"93","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","41","LocalVariableCouldBeFinal: Local variable 'comment' could be declared final","Code Style","LocalVariableCouldBeFinal"
"94","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","41","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'comment'","Code Style","UnnecessaryLocalBeforeReturn"
"95","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","46","AvoidUncheckedExceptionsInSignatures: A method or constructor should not explicitly declare unchecked exceptions in its 'throws' clause","Design","AvoidUncheckedExceptionsInSignatures"
"96","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","46","MethodArgumentCouldBeFinal: Parameter 'videoId' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"97","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","46","MissingOverride: The method 'allComments(int)' is missing an @Override annotation.","Best Practices","MissingOverride"
"98","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","48","LocalVariableCouldBeFinal: Local variable 'list' could be declared final","Code Style","LocalVariableCouldBeFinal"
"99","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","59","AvoidUncheckedExceptionsInSignatures: A method or constructor should not explicitly declare unchecked exceptions in its 'throws' clause","Design","AvoidUncheckedExceptionsInSignatures"
"100","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","59","MethodArgumentCouldBeFinal: Parameter 'commentId' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"101","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","59","MissingOverride: The method 'deleteComment(int)' is missing an @Override annotation.","Best Practices","MissingOverride"
"102","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","60","LocalVariableCouldBeFinal: Local variable 'c' could be declared final","Code Style","LocalVariableCouldBeFinal"
"103","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentService.java","3","60","ShortVariable: Avoid variables with short names like c","Code Style","ShortVariable"
"104","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentServiceint.java","4","6","UnnecessaryImport: Unused import 'com.mediaplayer.exceptions.InvalidCommentException'","Code Style","UnnecessaryImport"
"105","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentServiceint.java","3","8","CommentRequired: Class comments are required","Documentation","CommentRequired"
"106","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentServiceint.java","3","10","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"107","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentServiceint.java","3","12","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"108","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentServiceint.java","3","14","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"109","com.mediaplayer.service","src/main/java/com/mediaplayer/service/CommentServiceint.java","3","14","ShortVariable: Avoid variables with short names like c","Code Style","ShortVariable"
"110","com.mediaplayer","src/test/java/com/mediaplayer/MediaPlayerApplicationTests.java","3","7","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"111","com.mediaplayer","src/test/java/com/mediaplayer/MediaPlayerApplicationTests.java","3","7","CommentRequired: Class comments are required","Documentation","CommentRequired"
"112","com.mediaplayer","src/test/java/com/mediaplayer/MediaPlayerApplicationTests.java","3","10","JUnitTestsShouldIncludeAssert: JUnit tests should include assert() or fail()","Best Practices","JUnitTestsShouldIncludeAssert"
"113","com.mediaplayer","src/test/java/com/mediaplayer/MediaPlayerApplicationTests.java","3","10","UncommentedEmptyMethodBody: Document empty method body","Documentation","UncommentedEmptyMethodBody"
"114","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","1","TooManyStaticImports: Too many static imports may lead to messy code","Code Style","TooManyStaticImports"
"115","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","40","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"116","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","1","40","ClassNamingConventions: The class name 'commentServiceImplStub' doesn't match '^Test.*$|^[A-Z][a-zA-Z0-9]*Test(s|Case)?$'","Code Style","ClassNamingConventions"
"117","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","40","CommentRequired: Class comments are required","Documentation","CommentRequired"
"118","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","40","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"119","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","43","CommentRequired: Field comments are required","Documentation","CommentRequired"
"120","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","43","LongVariable: Avoid excessively long variable names like globalExceptionHandler","Code Style","LongVariable"
"121","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","45","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"122","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","45","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"123","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","45","JUnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","JUnitTestContainsTooManyAsserts"
"124","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","46","LocalVariableCouldBeFinal: Local variable 'commentRepo' could be declared final","Code Style","LocalVariableCouldBeFinal"
"125","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","47","LocalVariableCouldBeFinal: Local variable 'service' could be declared final","Code Style","LocalVariableCouldBeFinal"
"126","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","49","LocalVariableCouldBeFinal: Local variable 'comment' could be declared final","Code Style","LocalVariableCouldBeFinal"
"127","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","61","AvoidUncheckedExceptionsInSignatures: A method or constructor should not explicitly declare unchecked exceptions in its 'throws' clause","Design","AvoidUncheckedExceptionsInSignatures"
"128","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","61","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"129","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","61","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"130","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","61","JUnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","JUnitTestContainsTooManyAsserts"
"131","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","62","LocalVariableCouldBeFinal: Local variable 'commentRepo' could be declared final","Code Style","LocalVariableCouldBeFinal"
"132","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","63","LocalVariableCouldBeFinal: Local variable 'service' could be declared final","Code Style","LocalVariableCouldBeFinal"
"133","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","65","LocalVariableCouldBeFinal: Local variable 'comment' could be declared final","Code Style","LocalVariableCouldBeFinal"
"134","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","4","67","UnnecessaryFullyQualifiedName: Unnecessary qualifier 'Mockito': 'when' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"135","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","69","UnusedAssignment: The value assigned to variable 'result' is never used (overwritten on line 69)","Best Practices","UnusedAssignment"
"136","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","70","JUnitAssertionsShouldIncludeMessage: JUnit assertions should include a message","Best Practices","JUnitAssertionsShouldIncludeMessage"
"137","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","71","JUnitAssertionsShouldIncludeMessage: JUnit assertions should include a message","Best Practices","JUnitAssertionsShouldIncludeMessage"
"138","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","77","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"139","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","77","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"140","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","77","JUnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","JUnitTestContainsTooManyAsserts"
"141","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","77","LinguisticNaming: Linguistics Antipattern - The getter 'getCommentTest' should not return void linguistically","Code Style","LinguisticNaming"
"142","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","78","LocalVariableCouldBeFinal: Local variable 'commentRepo' could be declared final","Code Style","LocalVariableCouldBeFinal"
"143","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","79","LocalVariableCouldBeFinal: Local variable 'service' could be declared final","Code Style","LocalVariableCouldBeFinal"
"144","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","81","LocalVariableCouldBeFinal: Local variable 'videoId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"145","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","92","AvoidUncheckedExceptionsInSignatures: A method or constructor should not explicitly declare unchecked exceptions in its 'throws' clause","Design","AvoidUncheckedExceptionsInSignatures"
"146","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","92","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"147","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","92","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"148","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","92","JUnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","JUnitTestContainsTooManyAsserts"
"149","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","92","LinguisticNaming: Linguistics Antipattern - The getter 'getCommentTest1' should not return void linguistically","Code Style","LinguisticNaming"
"150","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","93","LocalVariableCouldBeFinal: Local variable 'commentRepo' could be declared final","Code Style","LocalVariableCouldBeFinal"
"151","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","94","LocalVariableCouldBeFinal: Local variable 'service' could be declared final","Code Style","LocalVariableCouldBeFinal"
